Run,Sample,Layout
SRR1972805,G4702.1,PE
SRR1972806,G4717.1,PE
SRR1972807,G4719.1,PE
SRR1972808,G4725.1,PE
SRR1972809,G4730.1,PE
SRR1972810,G4736.1,PE
SRR1972811,G4748.1,PE
SRR1972812,G4751.1,PE
SRR1972813,G4837.1,PE
SRR1972814,G4849.3,PE
SRR1972815,G4849.4,PE
SRR1972816,G4856.1,PE
SRR1972817,G4861.1,PE
SRR1972818,G4868.1,PE
SRR1972819,G4886.1,PE
SRR1972820,G4907.1,PE
SRR1972821,G4937.1,PE
SRR1972822,G4942.1,PE
SRR1972823,G4946.1,PE
SRR1972824,G4955.1,PE
SRR1972825,G4956.1,PE
SRR1972826,G4960.1,PE
SRR1972827,G4971.1,PE
SRR1972828,G4972.1,PE
SRR1972829,G4973.1,PE
SRR1972830,G4979.1,PE
SRR1972831,G4981.1,PE
SRR1972832,G4982.1,PE
SRR1972833,G4994.1,PE
SRR1972834,G4996.1,PE
SRR1972835,G4999.1,PE
SRR1972836,G5012.3,PE
SRR1972837,G5016.1,PE
SRR1972838,G5019.1,PE
SRR1972839,G5021.5,PE
SRR1972840,G5021.7,PE
SRR1972841,G5039.1,PE
SRR1972842,G5059.1,PE
SRR1972843,G5064.1,PE
SRR1972844,G5112.1,PE
SRR1972845,G5114.1,PE
SRR1972846,G5119.1,PE
SRR1972847,G5134.5,PE
SRR1972848,G5231.2,PE
SRR1972849,G5237.1,PE
SRR1972850,G5238.1,PE
SRR1972851,G5242.1,PE
SRR1972852,G5244.1,PE
SRR1972853,G5261.1,PE
SRR1972854,G5289.1,PE
SRR1972855,G5295.1,PE
SRR1972856,G5296.1,PE
SRR1972857,G5304.1,PE
SRR1972858,G5305.1,PE
SRR1972859,G5361.1,PE
SRR1972860,G5364.1,PE
SRR1972861,G5370.1,PE
SRR1972862,G5370.2,PE
SRR1972863,G5371.1,PE
SRR1972864,G5375.1,PE
SRR1972865,G5380.3,PE
SRR1972866,G5382.3,PE
SRR1972867,G5384.2,PE
SRR1972868,G5384.3,PE
SRR1972869,G5386.2,PE
SRR1972870,G5387.2,PE
SRR1972871,G5387.3,PE
SRR1972872,G5435.2,PE
SRR1972873,G5466.3,PE
SRR1972874,G5468.2,PE
SRR1972875,G5468.3,PE
SRR1972876,G5487.2,PE
SRR1972877,G5500.2,PE
SRR1972878,G5502.4,PE
SRR1972879,G5516.1,PE
SRR1972880,G5520.1,PE
SRR1972881,G5527.2,PE
SRR1972882,G5529.1,PE
SRR1972883,G5532.1,PE
SRR1972884,G5566.1,PE
SRR1972885,G5568.2,PE
SRR1972886,G5570.1,PE
SRR1972887,G5571.1,PE
SRR1972888,G5577.2,PE
SRR1972889,G5579.1,PE
SRR1972890,G5585.2,PE
SRR1972891,G5603.1,PE
SRR1972892,G5613.2,PE
SRR1972893,G5614.2,PE
SRR1972894,G5614.3,PE
SRR1972895,G5615.2,PE
SRR1972896,G5617.1,PE
SRR1972897,G5620.1,PE
SRR1972898,G5621.1,PE
SRR1972899,G5630.2,PE
SRR1972900,G5640.1,PE
SRR1972901,G5644.1,PE
SRR1972902,G5647.1,PE
SRR1972903,G5659.1,PE
SRR1972904,G5661.1,PE
SRR1972905,G5675.1,PE
SRR1972906,G5684.1,PE
SRR1972907,G5685.1,PE
SRR1972908,G5686.1,PE
SRR1972909,G5687.1,PE
SRR1972910,G5689.1,PE
SRR1972911,G5690.1,PE
SRR1972912,G5691.1,PE
SRR1972913,G5693.1,PE
SRR1972914,G5693.2,PE
SRR1972915,G5699.1,PE
SRR1972916,G5700.2,PE
SRR1972917,G5723.1,PE
SRR1972918,G5731.1,PE
SRR1972919,G5732.1,PE
SRR1972920,G5735.2,PE
SRR1972921,G5737.1,PE
SRR1972922,G5738.1,PE
SRR1972923,G5739.2,PE
SRR1972924,G5740.1,PE
SRR1972925,G5743.1,PE
SRR1972926,G5748.1,PE
SRR1972927,G5749.1,PE
SRR1972928,G5756.1,PE
SRR1972929,G5759.1,PE
SRR1972930,G5760.1,PE
SRR1972931,G5762.1,PE
SRR1972932,G5763.1,PE
SRR1972933,G5764.1,PE
SRR1972934,G5765.1,PE
SRR1972935,G5767.1,PE
SRR1972936,G5768.1,PE
SRR1972937,G5785.1,PE
SRR1972938,G5786.1,PE
SRR1972939,G5787.1,PE
SRR1972940,G5787.2,PE
SRR1972941,G5788.1,PE
SRR1972942,G5790.1,PE
SRR1972943,G5796.1,PE
SRR1972944,G5797.1,PE
SRR1972945,G5816.1,PE
SRR1972946,G5817.1,PE
SRR1972947,G5821.1,PE
SRR1972948,G5844.1,PE
SRR1972949,G5853.1,PE
SRR1972950,G5868.1,PE
SRR1972951,G5879.1,PE
SRR1972952,G5880.1,PE
SRR1972953,G5881.1,PE
SRR1972954,G5897.1,PE
SRR1972955,G5898.1,PE
SRR1972956,G5982.1,PE
SRR1972957,G5983.1,PE
SRR1972958,G5985.1,PE
SRR1972959,G5986.1,PE
SRR1972960,G5988.1,PE
SRR1972961,G5996.1,PE
SRR1972962,G5997.1,PE
SRR1972963,G5998.1,PE
SRR1972964,G6012.1,PE
SRR1972965,G6020.1,PE
SRR1972966,G6060.1,PE
